Date,City,Crime Type ID,Longitude,Resolved
2021-09-01,United Kingdom,1,,0
2023-08-02,France,9,,0
2022-04-10,Germany,12,,0
2023-09-21,Italy,11,,1
2022-04-02,Spain,12,,1
2022-09-19,Netherlands,11,,0
2023-09-15,Belgium,4,,1
2023-07-21,Switzerland,12,,1
2022-09-11,Sweden,2,,0
2023-10-19,Norway,1,,0
2022-07-12,Denmark,12,,1
2023-07-15,Finland,8,,1
2022-07-16,Austria,12,,1
2022-03-13,United Kingdom,1,,1
2022-12-29,France,12,,1
2022-07-28,Germany,12,,1
2023-05-04,Italy,9,,0
2023-06-03,Spain,11,,0
2021-10-25,Netherlands,12,,0
2021-10-13,Belgium,12,,1
2023-05-13,Switzerland,12,,1
2022-06-01,Sweden,3,,1
2022-04-23,Norway,12,,0
2023-06-08,Denmark,12,,1
2022-07-19,Finland,3,,1
2023-04-27,Austria,1,,1
2022-06-04,United Kingdom,5,,0
2021-10-27,France,12,,1
2023-04-01,Germany,1,,1
2022-01-26,Denmark,12,,0
2023-06-15,Finland,12,,1
2023-07-08,Austria,3,,1
2022-09-19,United Kingdom,1,,1
2022-12-04,France,1,,1
2022-07-04,Germany,6,,1
2022-07-14,Denmark,12,,1
2023-01-20,Finland,1,,1
2021-12-28,Austria,12,,1
2023-09-08,United Kingdom,11,,1
2022-11-24,France,1,,0
2022-05-10,Germany,1,,1
2022-01-28,France,12,,1
2022-01-04,Germany,9,,1
2022-05-12,Denmark,3,,1
2023-05-26,France,7,,1
2021-10-05,Germany,12,,0
2021-09-27,Denmark,5,,0
2023-05-30,United Kingdom,1,,1
2022-10-03,France,7,,1
2022-06-24,United Kingdom,12,,0
2021-10-09,France,12,,1
2022-02-13,Finland,12,,0
2023-05-06,Austria,12,,1
2021-12-29,United Kingdom,3,,1
2023-01-04,United Kingdom,12,,1
2022-10-31,France,12,,1
2022-12-07,Germany,12,,1
2021-12-29,Italy,8,,1
2022-09-23,Spain,11,,0
2022-01-26,Netherlands,11,,1
2022-06-15,Belgium,12,,1
2022-05-14,Switzerland,12,,1
2022-02-18,Sweden,11,,1
2022-03-22,Norway,1,,1
2022-11-07,Denmark,1,,1
2023-01-17,Finland,12,,1
2023-07-12,Austria,4,,1
2023-05-19,United Kingdom,5,,0
2023-09-27,France,12,,1
2022-11-09,Germany,12,,1
2022-07-17,Italy,7,,1
2022-11-20,Spain,1,,1
2022-10-16,Netherlands,11,,1
2023-03-14,Belgium,6,,0
2023-04-07,Switzerland,10,,1
2023-08-16,Sweden,4,,0
2022-12-16,Norway,1,,1
2023-01-20,Denmark,4,,1
2022-08-04,Finland,9,,1
2022-01-04,Austria,7,,1
2022-07-07,United Kingdom,5,,1
2021-11-18,France,1,,1
2023-03-15,Germany,7,,0
2022-12-14,Denmark,1,,1
2022-11-13,Finland,12,,0
2021-10-30,Austria,11,,0
2021-11-10,United Kingdom,9,,0
2023-03-01,France,4,,1
2022-04-04,Germany,10,,1
2022-05-28,Denmark,12,,1
2021-12-24,Finland,12,,1
2023-09-25,Austria,12,,1
2022-02-11,United Kingdom,12,,0
2021-12-12,France,1,,1
2022-06-07,Germany,2,,1
2022-03-03,France,12,,0
2022-09-08,Germany,12,,1
2023-04-18,Denmark,12,,1
2022-05-17,France,11,,1
2022-04-03,Germany,5,,1
2023-07-11,Denmark,11,,0
2022-05-30,United Kingdom,12,,1
2021-10-07,France,1,,1
2021-10-01,United Kingdom,9,,1
2021-09-20,France,10,,0
2023-08-07,Finland,1,,1
2021-09-26,Austria,7,,1
2022-04-12,United Kingdom,12,,0
2023-04-20,United Kingdom,3,,1
2021-11-19,France,1,,1
2022-10-17,Germany,7,,1
2021-10-01,Italy,7,,1
2022-10-19,Spain,12,,1
2021-11-15,Netherlands,12,,1
2022-01-14,Belgium,12,,1
2023-06-18,Switzerland,12,,1
2023-06-22,Sweden,7,,0
2023-05-26,Norway,12,,1
2023-04-27,Denmark,1,,1
2023-08-06,Finland,5,,1
2023-08-05,Austria,12,,1
2022-06-01,United Kingdom,3,,1
2021-12-21,France,12,,1
2023-10-02,Germany,12,,1
2022-10-07,Italy,1,,1
2023-02-14,Spain,1,,1
2022-11-03,Netherlands,1,,1
2021-10-03,Belgium,1,,1
2022-06-20,Switzerland,9,,1
2023-07-22,Sweden,3,,1
2023-03-01,Norway,1,,1
2023-06-21,Denmark,12,,0
2023-05-06,Finland,12,,1
2023-09-26,Austria,11,,1
2021-11-25,United Kingdom,1,,1
2023-08-02,France,9,,1
2022-11-10,Germany,12,,0
2023-07-27,Denmark,1,,0
2022-05-21,Finland,12,,0
2022-10-05,Austria,12,,1
2022-04-20,United Kingdom,12,,1
2021-09-13,France,12,,1
2021-12-04,Germany,12,,1
2023-10-14,Denmark,1,,0
2022-02-06,Finland,12,,1
2022-05-09,Austria,1,,1
2023-07-01,United Kingdom,12,,1
2023-08-07,France,1,,0
2022-03-11,Germany,1,,1
2021-09-16,France,8,,1
2022-10-07,Germany,4,,1
2022-05-03,Denmark,12,,1
2022-10-09,France,11,,0
2023-05-04,Germany,12,,1
2022-01-15,Denmark,11,,1
2022-05-02,United Kingdom,7,,1
2023-05-09,France,12,,1
2022-06-04,United Kingdom,12,,1
2023-05-05,France,1,,1
2021-12-10,Finland,4,,1
2021-12-21,Austria,1,,0
2023-07-30,United Kingdom,4,,1
2023-09-20,Finland,8,,1
2022-01-05,Austria,11,,1
2022-12-23,United Kingdom,6,,1
2023-08-11,Finland,1,,0
2021-11-17,Austria,12,,0
2022-09-28,United Kingdom,1,,0
2022-07-16,Finland,12,,1
2023-02-01,Austria,11,,1
2021-12-17,United Kingdom,12,,1
2022-01-27,Finland,3,,1
2022-01-10,Austria,4,,0
2022-01-23,United Kingdom,1,,1
2023-09-12,Finland,12,,0
2023-10-04,Austria,12,,0
2022-10-12,United Kingdom,1,,1
2022-08-01,Finland,12,,1
2022-06-30,Austria,12,,0
2022-02-04,United Kingdom,1,,1
2023-03-14,Finland,12,,1
2022-07-15,Austria,9,,1
2023-07-28,United Kingdom,5,,0
2022-01-27,Finland,3,,0
2023-07-23,Austria,10,,0
2022-03-14,United Kingdom,11,,1
2023-05-03,Finland,12,,1
2021-12-09,Austria,1,,1
2022-08-05,United Kingdom,11,,1
2023-08-27,Finland,12,,1
2021-10-25,Austria,1,,1
2022-09-14,United Kingdom,2,,1
2023-04-24,Finland,12,,0
2021-10-02,Austria,12,,1
2023-05-25,United Kingdom,7,,0
2022-05-22,Finland,12,,1
2023-05-31,Austria,12,,1
2022-08-03,United Kingdom,12,,0
2022-02-02,Finland,11,,1
2022-05-28,Austria,7,,0
2023-01-31,United Kingdom,12,,1
2022-10-17,Finland,11,,1
2022-11-24,Austria,9,,1
2021-10-13,United Kingdom,11,,1
2022-12-14,Finland,1,,0
2022-03-10,Austria,12,,0
2023-07-18,United Kingdom,1,,1
2023-09-29,Finland,1,,1
2023-04-29,Austria,12,,0
2023-08-06,United Kingdom,12,,1
2023-05-12,Finland,4,,1
2022-10-20,Austria,12,,1
2023-05-31,United Kingdom,12,,0
2023-08-12,Finland,7,,0
2023-07-07,Austria,1,,1
2023-08-18,United Kingdom,4,,1
2021-09-25,Finland,9,,1
2021-11-01,Austria,12,,1
2022-10-14,United Kingdom,12,,1
2022-06-13,Finland,7,,1
2022-10-06,Austria,1,,1
2022-12-03,United Kingdom,8,,0
2023-03-02,Finland,5,,0
2022-07-03,Austria,1,,1
2022-02-04,United Kingdom,7,,1
2022-05-31,Finland,12,,1
2021-12-01,Austria,11,,0
2022-06-17,United Kingdom,7,,1
2021-09-16,Finland,10,,1
2023-10-01,Austria,1,,1
2022-10-07,United Kingdom,11,,1
2022-02-04,Finland,12,,1
2023-10-05,Austria,1,,1
2022-06-01,United Kingdom,9,,1
2022-05-15,Finland,12,,1
2022-10-01,Austria,12,,1
2023-02-17,United Kingdom,12,,0
2021-12-29,Finland,12,,1
2021-11-13,Austria,1,,1
2021-10-02,United Kingdom,12,,1
2023-03-02,Finland,4,,0
2022-03-22,Austria,4,,1
2023-04-20,United Kingdom,12,,1
2022-02-20,Finland,7,,1
2022-03-01,Austria,12,,0
2023-09-28,United Kingdom,1,,1
2021-09-16,Finland,1,,0
2022-01-20,Austria,12,,1
2022-05-06,United Kingdom,1,,1
2022-06-05,Finland,2,,1
2022-10-04,Austria,12,,1
2021-10-08,United Kingdom,12,,0
2021-10-16,Finland,12,,0
2023-02-20,Austria,9,,1
2022-06-14,United Kingdom,9,,1
2022-11-04,Finland,4,,1
2023-06-14,Austria,12,,0
2022-09-01,United Kingdom,6,,1
2023-07-03,Finland,3,,1
2023-08-03,Austria,5,,1
2022-11-18,United Kingdom,9,,1
2021-10-23,Finland,9,,1
2023-06-30,Austria,12,,1
2021-11-24,United Kingdom,7,,1
2022-04-08,Finland,4,,0
2022-02-11,Austria,11,,1
2022-10-03,United Kingdom,1,,0
2022-02-27,Finland,7,,1
2022-04-30,Austria,12,,1
2021-10-04,United Kingdom,9,,1
2023-04-17,Finland,3,,1
2023-05-31,Austria,3,,1
2023-03-19,United Kingdom,4,,1
2023-09-26,Finland,1,,1
2022-04-14,Austria,4,,1
2022-12-23,United Kingdom,4,,1
2022-04-27,Finland,11,,1
2021-12-06,Austria,11,,1
2022-09-11,United Kingdom,5,,1
2021-11-30,Finland,1,,0
2023-04-05,Austria,1,,1
2021-12-27,United Kingdom,7,,0
2023-08-01,Finland,9,,1
2023-05-30,Austria,1,,0
2023-04-22,United Kingdom,12,,1
2022-08-27,Finland,9,,1
2022-12-29,Austria,7,,1
2023-10-09,United Kingdom,7,,1
2022-03-03,Finland,4,,1
2021-09-21,Austria,5,,0
2022-01-05,United Kingdom,12,,1
2022-01-13,Finland,12,,1
2022-03-08,Austria,3,,1
2023-09-01,United Kingdom,3,,0
2022-11-14,Finland,12,,0
2022-06-26,Austria,1,,0
2021-11-20,United Kingdom,3,,1
2022-08-01,Finland,12,,0
2021-11-14,Austria,7,,0
2022-04-26,United Kingdom,7,,1
2022-04-26,Finland,12,,0
2022-12-09,Austria,9,,1
2023-06-08,United Kingdom,3,,0
2022-01-23,Finland,12,,1
2022-10-28,Austria,10,,1
2021-10-11,United Kingdom,11,,0
2021-11-16,Finland,10,,1
2023-04-27,Austria,1,,1
2022-10-09,United Kingdom,4,,1
2022-12-11,Finland,1,,1
2022-01-07,Austria,5,,1
2023-06-27,United Kingdom,9,,1
2022-01-20,Finland,7,,1
2022-09-11,Austria,9,,0
2023-09-19,United Kingdom,11,,0
2021-10-20,Finland,1,,0
2022-10-16,Austria,5,,0
2021-11-13,United Kingdom,9,,1
2022-08-27,Finland,2,,0
2023-02-27,Austria,7,,1
2023-08-05,United Kingdom,2,,1
2023-07-03,Finland,12,,0
2021-10-14,Austria,12,,1
2022-02-19,United Kingdom,12,,0
2023-03-31,Finland,4,,0
2023-05-13,Austria,9,,0
2021-10-07,United Kingdom,9,,1
2022-09-03,Finland,5,,0
2023-10-22,Austria,12,,1
2023-07-04,United Kingdom,12,,1
2023-01-12,Finland,7,,1
2023-10-04,Austria,12,,1
2023-01-10,United Kingdom,11,,0
2022-09-30,Finland,1,,1
2023-04-04,Austria,11,,1
2022-05-16,United Kingdom,12,,1
2023-07-01,Finland,12,,1
2022-08-24,Austria,1,,1
2022-12-15,United Kingdom,5,,0
2023-10-30,Finland,12,,1
2023-05-12,Austria,7,,1
2023-06-17,Austria,2,,0
2022-03-27,Austria,2,,1
2023-02-26,Austria,5,,1
2023-10-18,Austria,1,,1
2022-07-25,Austria,12,,0
2022-12-31,Austria,4,,1
2021-12-26,Austria,1,,1
2022-08-26,Austria,7,,1
2022-08-10,Austria,12,,1
2023-07-18,Austria,7,,0
2022-04-09,Austria,12,,1
2023-03-10,Austria,1,,1
2022-07-12,Austria,1,,1
2022-04-07,Austria,12,,1
2023-01-18,Austria,12,,1
2021-09-10,Austria,1,,1
2022-11-12,Austria,12,,1
2023-08-20,Austria,1,,0
2021-10-05,Austria,1,,1
2022-08-31,Austria,1,,0
2022-09-22,Austria,12,,1
2022-02-04,Austria,11,,1
2021-09-22,Austria,9,,1
2023-05-09,Austria,1,,1
2022-03-07,Austria,12,,1
2021-10-22,Austria,9,,0
2021-09-09,Austria,7,,0
2022-02-05,Austria,1,,1
2023-01-08,Austria,12,,1
2023-05-09,Austria,12,,1
2022-03-09,Austria,12,,0
2021-12-30,Austria,4,,1
2022-10-30,Austria,1,,1
2022-10-27,Austria,5,,1
2021-09-30,Austria,1,,1
2022-03-30,Austria,12,,0
2021-11-22,Austria,4,,0
2022-01-02,Austria,1,,1
2023-07-06,Austria,3,,1
2022-03-19,Austria,4,,1
2023-05-01,Austria,11,,1
2022-11-12,Austria,1,,0
2022-11-13,Austria,10,,0
2023-03-21,Austria,1,,1
2022-02-22,Austria,12,,1
2021-10-20,Austria,11,,1
2022-03-24,Austria,12,,1
2021-12-31,Austria,6,,1
2023-10-14,Austria,8,,0
2022-08-29,Austria,1,,0
2022-07-07,Austria,12,,1
2022-05-15,Austria,12,,1
2021-11-22,Austria,1,,1
2023-09-02,Austria,7,,1
2023-04-16,Austria,12,,0
2023-03-26,Austria,7,,0
2021-11-29,Austria,12,,1
2023-06-20,Austria,12,,1
2023-07-25,Austria,9,,1
2023-01-20,Austria,10,,1
2023-01-01,Austria,9,,1
2023-07-22,Austria,10,,0
2023-02-23,Austria,7,,1
2023-06-06,Austria,4,,0
2021-11-11,Austria,8,,1
2022-03-01,Austria,12,,1
2022-10-25,Austria,12,,1
2023-02-06,Austria,5,,1
2021-12-09,Austria,1,,1
2021-10-17,Austria,7,,1
2023-07-17,Austria,9,,1
2023-01-17,Austria,12,,1
2022-05-29,Austria,7,,1
2021-10-29,Austria,1,,1
2022-02-02,Austria,7,,1
2022-02-16,Austria,12,,1
2023-04-27,Austria,4,,0
2022-07-02,Austria,12,,1
2023-07-28,Austria,12,,0
2022-04-10,Austria,12,,0
2023-08-06,Austria,12,,1
2022-12-26,Austria,4,,1
2022-06-09,Austria,12,,1
2021-10-29,Austria,3,,1
2023-09-24,Austria,11,,1
2021-09-16,Austria,9,,1
2022-12-24,Austria,9,,1
2022-05-19,Austria,12,,1
2023-06-26,Austria,9,,0
2022-01-28,Austria,3,,1
2023-04-21,Austria,9,,1
2022-10-29,Austria,12,,0
2021-09-28,Austria,12,,0
2023-08-21,Austria,11,,1
2022-01-06,Austria,1,,0
2022-11-08,Austria,12,,0
2023-08-27,Austria,1,,1
2022-12-30,Austria,12,,1
2023-02-27,Austria,3,,1
2023-08-16,Austria,5,,1
2023-07-20,Austria,12,,1
2023-06-29,Austria,1,,0
2023-02-12,Austria,7,,1
2021-10-02,Austria,1,,0
2022-04-29,Austria,10,,0
2023-03-15,Austria,4,,1
2022-12-06,Austria,1,,1
2022-10-31,Austria,4,,0
2022-10-27,Austria,12,,1
2022-07-03,Austria,7,,1
2022-12-06,Austria,7,,1
2021-12-21,Austria,9,,1
2021-12-22,Austria,1,,1
2023-06-11,Austria,12,,1
2021-10-08,Austria,12,,0
2022-08-30,Austria,8,,1
2022-10-29,Austria,12,,1
2022-06-01,Austria,11,,0
2021-12-26,Austria,10,,0
2022-04-03,Austria,12,,1
2022-06-03,Austria,1,,0
2022-05-02,Austria,12,,1
2023-06-26,Austria,11,,1
2023-09-11,Austria,4,,0
2022-08-20,Austria,12,,1
2022-03-20,Austria,12,,0
2023-04-16,Austria,7,,1
2021-09-15,Austria,12,,0
2022-01-03,Austria,11,,1
2021-11-19,Austria,12,,1
2023-06-10,Austria,1,,1
2021-10-31,Austria,7,,1
2021-11-25,Austria,1,,1
2022-03-03,Austria,8,,1
2021-10-12,Austria,1,,1
2021-11-07,Austria,10,,1
2023-03-07,Austria,1,,0
2023-03-25,Austria,12,,0
2021-10-22,Austria,12,,1
2023-06-09,Austria,8,,1
2023-05-01,Austria,12,,1
2022-12-02,Austria,12,,1
2021-10-21,Austria,12,,1
2022-10-07,Austria,1,,1
2023-05-27,Austria,4,,1
2022-10-31,Austria,8,,1
2021-11-07,Austria,12,,1
2023-07-01,Austria,5,,1
2022-11-25,Austria,12,,1
2021-10-05,Austria,10,,1
2022-03-01,Germany,1,,1
2022-06-14,Italy,12,,1
2023-07-16,Spain,10,,1
2023-03-15,Netherlands,4,,1
2022-07-21,Austria,3,,1
2022-06-16,Austria,3,,0
2022-08-06,Austria,4,,1
2022-02-24,Germany,9,,1
2023-03-21,Italy,7,,1
2022-01-13,Spain,1,,0
2022-11-04,Netherlands,12,,1
2022-03-06,Austria,12,,0
2021-12-12,Austria,12,,0
2022-06-04,Austria,7,,1
2022-07-01,Germany,1,,0
2022-09-08,Italy,12,,1
2023-09-23,Spain,8,,1
2022-02-14,Netherlands,12,,1
2023-03-26,Austria,4,,1
2023-02-07,Austria,12,,1
2022-05-26,Austria,12,,1
2022-12-13,Germany,12,,1
2023-07-08,Italy,1,,0
2022-02-06,Spain,1,,1
2023-07-28,Netherlands,12,,1
2022-12-08,Austria,1,,0
2022-05-08,Austria,12,,0
2022-02-26,Austria,12,,1
2022-11-16,Germany,11,,1
2023-01-04,Italy,7,,0
2022-08-04,Spain,1,,1
2023-09-17,Netherlands,12,,0
2022-12-28,Austria,11,,0
2022-05-04,Austria,8,,1
2023-08-24,Austria,10,,0
2022-10-02,Germany,12,,1
2023-03-04,Italy,7,,0
2021-12-22,Spain,9,,1
2022-01-30,Netherlands,12,,1
2023-06-02,Austria,4,,1
2023-10-08,Austria,12,,0
2021-09-09,Austria,1,,1
2022-04-17,Germany,9,,0
2022-03-29,Italy,12,,1
2022-05-07,Spain,1,,1
2022-10-25,Netherlands,12,,1
2023-04-19,Austria,1,,1
2022-05-28,Austria,1,,1
2022-09-03,Austria,1,,0
2022-01-15,Germany,7,,1
2022-07-17,Italy,7,,1
2022-10-01,Spain,12,,1
2022-10-24,Netherlands,12,,0
2023-05-13,Austria,8,,1
2023-08-22,Austria,11,,1
2021-09-28,Austria,11,,1
2021-12-18,Germany,12,,1
2022-10-28,Italy,9,,1
2023-06-15,Spain,1,,1
2023-02-04,United Kingdom,12,,1
2022-05-02,France,1,,1
2022-09-22,Germany,12,,1
2022-04-20,Italy,12,,1
2021-12-21,Spain,1,,1
2023-04-15,Netherlands,12,,1
2022-01-27,Belgium,12,,0
2022-01-13,Switzerland,1,,1
2023-02-22,Sweden,7,,1
2022-04-30,Norway,1,,0
2022-01-31,Denmark,1,,1
2023-02-27,Finland,12,,0
2023-04-22,Austria,12,,1
2023-04-16,United Kingdom,12,,1
2022-11-10,France,11,,0
2023-08-06,Germany,10,,1
2022-05-29,Italy,7,,0
2022-09-02,Spain,12,,1
2021-12-16,Netherlands,12,,1
2023-03-04,Belgium,1,,1
2023-08-02,Switzerland,7,,1
2023-04-15,Sweden,11,,1
2021-10-11,Norway,4,,0
2022-11-14,Denmark,1,,1
2023-03-11,Finland,12,,1
2022-04-30,Austria,12,,1
2021-09-14,United Kingdom,5,,1
2023-06-14,France,4,,1
2022-08-23,Germany,12,,1
2022-12-05,Denmark,1,,1
2021-09-07,Finland,12,,1
2022-05-30,Austria,7,,1
2023-03-19,United Kingdom,12,,1
2022-09-11,France,7,,0
2022-04-10,Germany,1,,1
2021-11-30,Denmark,12,,1
2023-06-16,Finland,11,,1
2022-10-13,Austria,11,,1
2022-09-21,United Kingdom,1,,1
2021-11-02,France,7,,1
2023-07-18,Germany,12,,0
2022-07-28,France,12,,1
2023-10-25,Germany,7,,1
2023-09-01,Denmark,12,,0
2023-05-12,France,12,,1
2023-08-11,Germany,12,,1
2023-09-18,Denmark,12,,1
2023-01-24,United Kingdom,4,,1
2022-04-27,France,12,,1
2023-10-13,United Kingdom,1,,1
2023-10-22,France,11,,0
2023-07-07,Finland,7,,0
2023-03-30,Austria,1,,0
2023-06-21,United Kingdom,9,,1
2022-02-07,United Kingdom,2,,1
2023-03-09,France,12,,1
2023-08-21,Germany,3,,1
2023-03-08,Italy,12,,1
2021-10-16,Spain,4,,1
2022-06-01,Netherlands,12,,1
2022-02-25,Belgium,12,,1
